Pacific/Guam,ChST
Canada/Newfoundland,NST,NDT
Canada/Atlantic,AST,ADT
America/New_York,EST,EDT
America/Chicago,CST,CDT
America/Denver,MST,MDT
America/Phoenix,MST
America/Los_Angeles,PST,PDT
America/Anchorage,AKST,ADST
Pacific/Honolulu,HAST
Pacific/Samoa,Samoan Time
